"ID","Title","Assigned To","Case ID","Comment","Defects","Elapsed","Estimate","Forecast","In Progress","Plan","Plan ID","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Status","Tested By","Tested On","Type","Version"
"T8036","Pair to single lifter","","C1056","","","","","","","","","Smoke","","2018-04-10 Moto Z practice run","","R85","Pairing","0","","Passed","Brennan Pace","4/10/2018 10:45 AM","Functional",""
"T8088","Pair to two more lifters","","C4785","","","","","","","","","Critical","","2018-04-10 Moto Z practice run","","R85","Pairing","0","","Passed","Brennan Pace","4/10/2018 1:25 PM","Functional",""
"T8037","Unpaired nearby lifters make ""ADD NEW"" button active","","C1059","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Main Screen","0","","Passed","Brennan Pace","4/10/2018 1:44 PM","Functional",""
"T8038","Lifters and groups persist in app after app termination and relaunch","","C1060","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Main Screen","0","","Passed","Brennan Pace","4/10/2018 1:44 PM","Functional",""
"T8039","All nearby lifters can connect and validate","","C1061","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Main Screen","0","","Passed","Brennan Pace","4/10/2018 1:45 PM","Functional",""
"T8042","Connect to lifter","","C1064","","","","","","","","","Smoke","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 10:45 AM","Functional",""
"T8043","Up arrow control","","C1065","","","","","","","","","Smoke","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 10:46 AM","Functional",""
"T8044","Down arrow control","","C1066","","","","","","","","","Critical","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 10:46 AM","Functional",""
"T8045","Slider control","","C1067","","","","","","","","","Critical","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 10:48 AM","Functional",""
"T8069","Warning: no smart top, on attempt move to smart top","","C1098","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 1:54 PM","Functional",""
"T8070","Warning: no smart bottom, on attempt move to smart bottom","","C1099","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 1:54 PM","Functional",""
"T8046","Set smart top","","C1068","","","","","","","","","Critical","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 10:49 AM","Functional",""
"T8048","Go to smart top","","C1070","","","","","","","","","Critical","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 10:50 AM","Functional",""
"T8097","Does not permit motion past smart top after warning prompt and answer no","","C5927","","","","","","","","","Critical","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 1:02 PM","Functional",""
"T8049","Go past smart top via override after warning prompt","","C1071","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 1:46 PM","Functional",""
"T8047","Clear smart top","","C1069","","","","","","","","","Critical","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 10:50 AM","Functional",""
"T8050","Set smart bottom","","C1072","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 1:46 PM","Functional",""
"T8071","Go to smart bottom","","C1100","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 1:55 PM","Functional",""
"T8100","Does not permit motion past smart bottom after warning prompt and answer no","","C5930","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 2:02 PM","Functional",""
"T8072","Go past smart bottom via override after warning prompt","","C1101","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 1:55 PM","Functional",""
"T8073","Clear smart bottom","","C1102","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 1:55 PM","Functional",""
"T8057","Disconnect lifter power while moving via app control","","C1084","","","","","","","","","Critical","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 10:57 AM","Functional",""
"T8091","End of travel message, high","","C5920","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 1:58 PM","Functional",""
"T8092","End of travel message, low","","C5921","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 2:02 PM","Functional",""
"T8093","STOP button interrupts travel during smart top and bottom movement","","C5922","","","","","","","","","Critical","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 11:58 AM","Functional",""
"T8096","Reconnects after connection interruption","","C5926","","","","","","","","","High","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 1:39 PM","Functional",""
"T8040","Rename lifter","","C1062","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Single lifter control","0","","Passed","Brennan Pace","4/10/2018 1:45 PM","Functional",""
"T8053","Create locked group","","C1077","","","","","","","","","Medium","","2018-04-10 Moto Z practice run","","R85","Locked groups","0","","Passed","Brennan Pace","4/10/2018 1:52 PM","Functional",""
